admin/admin
ebentious/yes
John Smith/Password123!
Jane Doe/SecurePass456@
Michael Johnson/Welcome789#
Emily Davis/StrongPass101$
David Brown/PassWord202!
Sarah Wilson/KeySecure303@
James Taylor/LockItDown404#
Laura Moore/SafePass505$
Robert Anderson/Guarded606!
Linda Thomas/Shielded707@
William Jackson/Protected808#
Barbara White/Secure909$
Charles Harris/Password010!
Susan Martin/SafeKey111@
Joseph Thompson/LockIt222#
Karen Garcia/Guarded333$
Thomas Martinez/Shielded444!
Nancy Robinson/Protected555@
Daniel Clark/Secure789#
Patricia Rodriguez/Password777$
